sample_id,K,Keff,B,M,f_ibd,l_ibd,n50_ibd,samps,props
SMI000-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0196-C,1.0
SMI001-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0269-C,1.0
SMI002-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0262-C,1.0
SMI003-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0293-C,1.0
SMI004-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0252-C,1.0
SMI005-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0294-C,1.0
SMI006-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0281-C,1.0
SMI007-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0217-C,1.0
SMI008-K01-B01-M00,1,1.0000000000000002,1,0,0.0,0.0,0.0,QG0205-C,1.0
SMI009-K01-B01-M00,1,1.0000000000000002,1,0,0.0,0.0,0.0,QG0298-C,1.0
SMI010-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0267-C,1.0
SMI011-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0260-C,1.0
SMI012-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0203-C,1.0
SMI013-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0261-C,1.0
SMI014-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0195-C,1.0
SMI015-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0182-C,1.0
SMI016-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0268-C,1.0
SMI017-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0233-C,1.0
SMI018-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0186-C,1.0
SMI019-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0236-C,1.0
SMI020-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0189-C,1.0
SMI021-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0299-C,1.0
SMI022-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0254-C,1.0
SMI023-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0276-C,1.0
SMI024-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0201-C,1.0
SMI025-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0251-C,1.0
SMI026-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0185-C,1.0
SMI027-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0251-C,1.0
SMI028-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0259-C,1.0
SMI029-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0286-C,1.0
SMI030-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0203-C,1.0
SMI031-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0275-C,1.0
SMI032-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0292-C,1.0
