sample_id,strain1,strain2,chrom,start,end,length
SMI000-K02-B01-M02,0,1,Pf3D7_02_v3,405079,434163,29084
SMI000-K02-B01-M02,0,1,Pf3D7_02_v3,468251,828325,360074
SMI000-K02-B01-M02,0,1,Pf3D7_03_v3,361403,926595,565192
SMI000-K02-B01-M02,0,1,Pf3D7_04_v3,255939,999012,743073
SMI000-K02-B01-M02,0,1,Pf3D7_04_v3,1037822,1143965,106143
SMI000-K02-B01-M02,0,1,Pf3D7_05_v3,39872,92221,52349
SMI000-K02-B01-M02,0,1,Pf3D7_05_v3,351970,482621,130651
SMI000-K02-B01-M02,0,1,Pf3D7_05_v3,1038517,1166914,128397
SMI000-K02-B01-M02,0,1,Pf3D7_05_v3,1204155,1217961,13806
SMI000-K02-B01-M02,0,1,Pf3D7_06_v3,796597,1079212,282615
SMI000-K02-B01-M02,0,1,Pf3D7_06_v3,1111651,1294070,182419
SMI000-K02-B01-M02,0,1,Pf3D7_07_v3,77194,132909,55715
SMI000-K02-B01-M02,0,1,Pf3D7_07_v3,1354996,1380526,25530
SMI000-K02-B01-M02,0,1,Pf3D7_08_v3,75691,1045210,969519
SMI000-K02-B01-M02,0,1,Pf3D7_08_v3,1113495,1364499,251004
SMI000-K02-B01-M02,0,1,Pf3D7_09_v3,82153,685626,603473
SMI000-K02-B01-M02,0,1,Pf3D7_09_v3,1206669,1326676,120007
SMI000-K02-B01-M02,0,1,Pf3D7_10_v3,1295838,1570149,274311
SMI000-K02-B01-M02,0,1,Pf3D7_11_v3,110641,769251,658610
SMI000-K02-B01-M02,0,1,Pf3D7_11_v3,778298,1195964,417666
SMI000-K02-B01-M02,0,1,Pf3D7_11_v3,1209400,1294584,85184
SMI000-K02-B01-M02,0,1,Pf3D7_11_v3,1464120,2003008,538888
SMI000-K02-B01-M02,0,1,Pf3D7_12_v3,61435,382400,320965
SMI000-K02-B01-M02,0,1,Pf3D7_12_v3,802744,2155095,1352351
SMI000-K02-B01-M02,0,1,Pf3D7_13_v3,77901,93019,15118
SMI000-K02-B01-M02,0,1,Pf3D7_13_v3,150114,2575636,2425522
SMI000-K02-B01-M02,0,1,Pf3D7_14_v3,415819,824306,408487
SMI000-K02-B01-M02,0,1,Pf3D7_14_v3,2451029,3255607,804578
SMI001-K02-B01-M03,0,1,Pf3D7_01_v3,95518,530521,435003
SMI001-K02-B01-M03,0,1,Pf3D7_02_v3,278302,805840,527538
SMI001-K02-B01-M03,0,1,Pf3D7_03_v3,637453,878750,241297
SMI001-K02-B01-M03,0,1,Pf3D7_03_v3,891306,1002946,111640
SMI001-K02-B01-M03,0,1,Pf3D7_04_v3,91817,833197,741380
SMI001-K02-B01-M03,0,1,Pf3D7_04_v3,883380,1143965,260585
SMI001-K02-B01-M03,0,1,Pf3D7_05_v3,39872,329606,289734
SMI001-K02-B01-M03,0,1,Pf3D7_05_v3,1004479,1321074,316595
SMI001-K02-B01-M03,0,1,Pf3D7_06_v3,74373,114595,40222
SMI001-K02-B01-M03,0,1,Pf3D7_06_v3,229484,1282691,1053207
